Episode,Player,Award,Points,Character,Cheat,Multiplier
7,Jannerah Silverscale,Support,32,Tormund Giantsbane,False,
7,Jannerah Silverscale,Support,16,Jaqen Hghar,False,
7,Jannerah Silverscale,Support,8,,False,
7,Ivarius Ironsight,Wit,32,Tyrion Lannister,False,
7,Ivarius Ironsight,Wit,16,Jon Snow,False,
7,Ivarius Ironsight,Wit,8,,False,
7,Ivarius Ironsight,Jockey,32,White Walkers Master,False,
7,Ivarius Ironsight,Jockey,16,Tormund Giantsbane,False,
7,Ivarius Ironsight,Jockey,8,,False,
7,Ivarius Ironsight,Bloodshed,32,White Walkers Master,False,
7,Ivarius Ironsight,Bloodshed,16,Jon Snow,False,
7,Ivarius Ironsight,Bloodshed,8,,False,
7,Ivarius Ironsight,Style,32,Arya Stark,False,
7,Ivarius Ironsight,Style,16,White Walkers Master,False,
7,Ivarius Ironsight,Style,8,,False,
7,Ivarius Ironsight,Support,32,Jorah Mormont,False,
7,Ivarius Ironsight,Support,16,Tormund Giantsbane,False,
7,Ivarius Ironsight,Support,8,,False,
7,Rob o Bones,Wit,32,Daenerys Targaryen,False,
7,Rob o Bones,Wit,16,Tormund Giantsbane,False,
7,Rob o Bones,Wit,8,,False,
7,Rob o Bones,Jockey,32,Tyrion Lannister,False,
7,Rob o Bones,Jockey,16,Jon Snow,False,
7,Rob o Bones,Jockey,8,,False,
7,Rob o Bones,Bloodshed,32,Jon Snow,False,
7,Rob o Bones,Bloodshed,16,Tormund Giantsbane,False,
7,Rob o Bones,Bloodshed,8,,False,
7,Rob o Bones,Style,32,Lord of Bones,False,
7,Rob o Bones,Style,16,Loboda,False,
7,Rob o Bones,Style,8,,False,
7,Rob o Bones,Support,32,Tyrion Lannister,False,
7,Rob o Bones,Support,16,Tormund Giantsbane,False,
7,Rob o Bones,Support,8,,False,
7,Daisy,Wit,32,Theon Greyjoy,False,
7,Daisy,Wit,16,Tyrion Lannister,False,
7,Daisy,Wit,8,,False,
7,Daisy,Jockey,32,Daenerys Targaryen,False,
7,Daisy,Jockey,16,Jorah Mormont,False,
7,Daisy,Jockey,8,,False,
7,Daisy,Bloodshed,32,Tormund Giantsbane,False,
7,Daisy,Bloodshed,16,Jon Snow,False,
7,Daisy,Bloodshed,8,,False,
7,Daisy,Style,32,Lord of Bones,False,
7,Daisy,Style,16,White Walkers Master,False,
7,Daisy,Style,8,,False,
7,Daisy,Support,32,Arya Stark,False,
7,Daisy,Support,16,Qyburn,False,
7,Daisy,Support,8,,False,
7,Max Ng,Wit,32,Tyrion Lannister,False,
7,Max Ng,Wit,16,Qyburn,False,
7,Max Ng,Wit,8,,False,
7,Max Ng,Jockey,32,White Walkers Master,False,
7,Max Ng,Jockey,16,Ramsay Bolton,False,
7,Max Ng,Jockey,8,,False,
7,Max Ng,Bloodshed,32,Tormund Giantsbane,False,
7,Max Ng,Bloodshed,16,Lord of Bones,False,
7,Max Ng,Bloodshed,8,,False,
7,Max Ng,Style,32,Daenerys Targaryen,True,0.25
7,Max Ng,Style,16,Arya Stark,False,
7,Max Ng,Style,8,,False,
7,Max Ng,Support,32,Tormund Giantsbane,False,
7,Max Ng,Support,16,Lord of Bones,False,
7,Max Ng,Support,8,,False,
7,Mart,Wit,32,Daenerys Targaryen,False,
7,Mart,Wit,16,Jon Snow,False,
7,Mart,Wit,8,Jorah Mormont,False,
7,Mart,Jockey,32,White Walkers Master,False,
7,Mart,Jockey,16,Jon Snow,False,
7,Mart,Jockey,8,Daenerys Targaryen,False,
7,Mart,Bloodshed,32,Jon Snow,False,
7,Mart,Bloodshed,16,Tormund Giantsbane,False,
7,Mart,Bloodshed,8,White Walkers Master,False,
7,Mart,Style,32,White Walkers Master,False,
7,Mart,Style,16,Arya Stark,False,
7,Mart,Style,8,Jorah Mormont,False,
7,Mart,Support,32,Tormund Giantsbane,False,
7,Mart,Support,16,Arya Stark,False,
7,Mart,Support,8,Eddison Tollett,False,
7,Sherin the Sedulous,Wit,32,Tyrion Lannister,False,
7,Sherin the Sedulous,Wit,16,Daenerys Targaryen,False,
7,Sherin the Sedulous,Wit,8,,False,
7,Sherin the Sedulous,Jockey,32,White Walkers Master,False,
7,Sherin the Sedulous,Jockey,16,Jon Snow,False,
7,Sherin the Sedulous,Jockey,8,,False,
7,Sherin the Sedulous,Bloodshed,32,White Walkers Master,False,
7,Sherin the Sedulous,Bloodshed,16,Tormund Giantsbane,False,
7,Sherin the Sedulous,Bloodshed,8,,False,
7,Sherin the Sedulous,Style,32,White Walkers Master,False,
7,Sherin the Sedulous,Style,16,Daenerys Targaryen,False,
7,Sherin the Sedulous,Style,8,,False,
7,Sherin the Sedulous,Support,32,Theon Greyjoy,False,
7,Sherin the Sedulous,Support,16,Tormund Giantsbane,False,
7,Sherin the Sedulous,Support,8,,False,
7,Josh Du,Wit,32,Tormund Giantsbane,False,
7,Josh Du,Wit,16,Gilly,False,
7,Josh Du,Wit,8,,False,
7,Josh Du,Jockey,32,Jon Snow,False,
7,Josh Du,Jockey,16,Tormund Giantsbane,False,
7,Josh Du,Jockey,8,,False,
7,Josh Du,Bloodshed,32,White Walkers Master,False,
7,Josh Du,Bloodshed,16,Tormund Giantsbane,False,
7,Josh Du,Bloodshed,8,Lord of Bones,False,
7,Josh Du,Style,32,White Walkers Master,False,
7,Josh Du,Style,16,Margaery Tyrell,False,
7,Josh Du,Style,8,Cersei Lannister,False,
7,Josh Du,Support,32,Samwell Tarly,False,
7,Josh Du,Support,16,Jorah Mormont,False,
7,Josh Du,Support,8,Qyburn,False,
7,Kirsty,Wit,32,Tormund Giantsbane,False,
7,Kirsty,Wit,16,Tyrion Lannister,False,
7,Kirsty,Wit,8,,False,
7,Kirsty,Jockey,32,Jon Snow,False,
7,Kirsty,Jockey,16,Tyrion Lannister,False,
7,Kirsty,Jockey,8,Daenerys Targaryen,False,
7,Kirsty,Bloodshed,32,White Walkers Master,False,
7,Kirsty,Bloodshed,16,Jon Snow,False,
7,Kirsty,Bloodshed,8,Lord of Bones,False,
7,Kirsty,Style,32,Daenerys Targaryen,False,
7,Kirsty,Style,16,Arya Stark,False,
7,Kirsty,Style,8,Jon Snow,False,
7,Kirsty,Support,32,Tormund Giantsbane,False,
7,Kirsty,Support,16,Tyrion Lannister,False,
7,Kirsty,Support,8,Eddison Tollett,False,
