Episode,Player,Award,Points,Character,Cheat,Multiplier
7,Dan,Wit,32,Daenerys Targaryen,False,
7,Dan,Wit,16,Tyrion Lannister,False,
7,Dan,Wit,8,,False,
7,Dan,Jockey,32,Tyrion Lannister,False,
7,Dan,Jockey,16,Daenerys Targaryen,False,
7,Dan,Jockey,8,Kevan Lannister,False,
7,Dan,Bloodshed,32,White Walkers Master,False,
7,Dan,Bloodshed,16,Jon Snow,False,
7,Dan,Bloodshed,8,Tormund Giantsbane,False,
7,Dan,Style,32,Arya Stark,False,
7,Dan,Style,16,Cersei Lannister,False,
7,Dan,Style,8,,False,
7,Dan,Support,32,Tormund Giantsbane,False,
7,Dan,Support,16,Qyburn,False,
7,Dan,Support,8,,False,
7,Hayley,Wit,32,Jaqen Hghar,False,
7,Hayley,Wit,16,Daenerys Targaryen,False,
7,Hayley,Wit,8,,False,
7,Hayley,Jockey,32,Jorah Mormont,False,
7,Hayley,Jockey,16,Tyrion Lannister,False,
7,Hayley,Jockey,8,,False,
7,Hayley,Bloodshed,32,White Walkers Master,False,
7,Hayley,Bloodshed,16,Jon Snow,False,
7,Hayley,Bloodshed,8,Tormund Giantsbane,False,
7,Hayley,Style,32,Cersei Lannister,False,
7,Hayley,Style,16,Walda Bolton,False,
7,Hayley,Style,8,,False,
7,Hayley,Support,32,Qyburn,False,
7,Hayley,Support,16,Theon Greyjoy,False,
7,Hayley,Support,8,,False,
7,Jannerah Silverscale,Wit,32,Tyrion Lannister,False,
7,Jannerah Silverscale,Wit,16,Daenerys Targaryen,False,
7,Jannerah Silverscale,Wit,8,,False,
7,Jannerah Silverscale,Jockey,32,Daenerys Targaryen,False,
7,Jannerah Silverscale,Jockey,16,White Walkers Master,False,
7,Jannerah Silverscale,Jockey,8,,False,
7,Jannerah Silverscale,Bloodshed,32,Tormund Giantsbane,False,
7,Jannerah Silverscale,Bloodshed,16,White Walkers Master,False,
7,Jannerah Silverscale,Bloodshed,8,,False,
7,Jannerah Silverscale,Style,32,Lord of Bones,False,
7,Jannerah Silverscale,Style,16,White Walkers Master,False,
7,Jannerah Silverscale,Style,8,,False,
