Episode,Player,Award,Points,Character
1,Dan,Wit,32,Tyrion Lannister
1,Dan,Wit,16,Samwell Tarly
1,Dan,Wit,8,Ser Bronn
1,Dan,Jockey,32,Jon Snow
1,Dan,Jockey,16,Petyr Baelish
1,Dan,Jockey,8,Ellaria Sand
1,Dan,Bloodshed,32,Brienne of Tarth
1,Dan,Bloodshed,16,Daenerys Targaryen
1,Dan,Bloodshed,8,Daario Naharis
1,Dan,Style,32,Jaqen Hghar
1,Dan,Style,16,Ser Bronn
1,Dan,Style,8,Daenerys Targaryen
1,Dan,Support,32,Samwell Tarly
1,Dan,Support,16,Jaqen Hghar
1,Dan,Support,8,Podrick Payne
1,Hayley,Wit,32,Samwell Tarly
1,Hayley,Wit,16,Barristan Selmy
1,Hayley,Wit,8,Varys
1,Hayley,Jockey,32,Arya Stark
1,Hayley,Jockey,16,Samwell Tarly
1,Hayley,Jockey,8,Daario Naharis
1,Hayley,Bloodshed,32,Daenerys Targaryen
1,Hayley,Bloodshed,16,Daario Naharis
1,Hayley,Bloodshed,8,Grey Worm
1,Hayley,Style,32,Missandei
1,Hayley,Style,16,Cersei Lannister
1,Hayley,Style,8,Daenerys Targaryen
1,Hayley,Support,32,Samwell Tarly
1,Hayley,Support,16,Kevan Lannister
1,Hayley,Support,8,Petyr Baelish
1,Jannerah Silverscale,Wit,32,Kevan Lannister
1,Jannerah Silverscale,Wit,16,Jaqen Hghar
1,Jannerah Silverscale,Wit,8,
1,Jannerah Silverscale,Jockey,32,Samwell Tarly
1,Jannerah Silverscale,Jockey,16,Jaime Lannister
1,Jannerah Silverscale,Jockey,8,
1,Jannerah Silverscale,Bloodshed,32,Daario Naharis
1,Jannerah Silverscale,Bloodshed,16,Brienne of Tarth
1,Jannerah Silverscale,Bloodshed,8,
1,Jannerah Silverscale,Style,32,Daenerys Targaryen
1,Jannerah Silverscale,Style,16,Jaqen Hghar
1,Jannerah Silverscale,Style,8,
1,Jannerah Silverscale,Support,32,Brienne of Tarth
1,Jannerah Silverscale,Support,16,Samwell Tarly
1,Jannerah Silverscale,Support,8,Varys
1,Ivarius Ironsight,Wit,32,Kevan Lannister
1,Ivarius Ironsight,Wit,16,Varys
1,Ivarius Ironsight,Wit,8,
1,Ivarius Ironsight,Jockey,32,Jon Snow
1,Ivarius Ironsight,Jockey,16,Jaime Lannister
1,Ivarius Ironsight,Jockey,8,
1,Ivarius Ironsight,Bloodshed,32,Brienne of Tarth
1,Ivarius Ironsight,Bloodshed,16,Daario Naharis
1,Ivarius Ironsight,Bloodshed,8,
1,Ivarius Ironsight,Style,32,Jaqen Hghar
1,Ivarius Ironsight,Style,16,Ellaria Sand
1,Ivarius Ironsight,Style,8,
1,Ivarius Ironsight,Support,32,Varys
1,Ivarius Ironsight,Support,16,Podrick Payne
1,Ivarius Ironsight,Support,8,Daario Naharis
1,Rob o Bones,Wit,32,Samwell Tarly
1,Rob o Bones,Wit,16,Jaime Lannister
1,Rob o Bones,Wit,8,Tyrion Lannister
1,Rob o Bones,Jockey,32,Samwell Tarly
1,Rob o Bones,Jockey,16,Cersei Lannister
1,Rob o Bones,Jockey,8,
1,Rob o Bones,Bloodshed,32,Brienne of Tarth
1,Rob o Bones,Bloodshed,16,Daenerys Targaryen
1,Rob o Bones,Bloodshed,8,
1,Rob o Bones,Style,32,Daenerys Targaryen
1,Rob o Bones,Style,16,Sansa Stark
