Multiplier,Daisy,Dan,Hayley,Ivarius Ironsight,Jannerah Silverscale,Josh Du,Kent,Kirsty,Mart,Max Ng,Rob o Bones,Sherin the Sedulous,Episode
0.125,0.0,0.0,13.0,2.0,0.0,20.0,32.0,2.0,20.0,0.0,0.0,32.0,9
0.25,0.0,0.0,0.0,0.0,88.0,72.0,4.0,20.0,38.0,0.0,10.0,40.0,9
0.5,0.0,28.0,32.0,32.0,32.0,0.0,0.0,0.0,40.0,32.0,16.0,0.0,9
1.0,0.0,0.0,32.0,0.0,8.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,9
2.0,16.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,272.0,0.0,0.0,272.0,9
4.0,0.0,0.0,0.0,64.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,9
8.0,384.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,64.0,0.0,64.0,9
