Multiplier,Daisy,Dan,Hayley,Ivarius Ironsight,Jannerah Silverscale,Josh Du,Kent,Kirsty,Mart,Max Ng,Rob o Bones,Sherin the Sedulous,Episode
0.125,25.0,6.0,1.0,0.0,25.0,28.0,0.0,4.0,28.0,25.0,25.0,0.0,6
0.25,0.0,0.0,0.0,0.0,0.0,16.0,0.0,20.0,30.0,0.0,56.0,0.0,6
0.5,0.0,0.0,0.0,0.0,0.0,8.0,0.0,56.0,160.0,0.0,4.0,104.0,6
1.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,40.0,0.0,32.0,0.0,0.0,6
2.0,0.0,432.0,0.0,416.0,432.0,672.0,0.0,0.0,0.0,64.0,0.0,0.0,6
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
8.0,0.0,0.0,640.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,64.0,6
