Character,Points,Rank,Episode
Doran Martell,440.0,1.0,8
Shireen Baratheon,344.0,2.0,8
Jorah Mormont,328.0,3.0,8
Daenerys Targaryen,216.0,4.0,8
Tyrion Lannister,144.0,5.0,8
Davos Seaworth,136.0,6.0,8
Arya Stark,136.0,6.0,8
Melisandre,128.0,8.0,8
Hizdahr zo Loraq,128.0,8.0,8
Daario Naharis,120.0,10.0,8
Ramsay Bolton,80.0,11.0,8
Missandei,64.0,12.0,8
Mace Tyrell,64.0,12.0,8
Stannis Baratheon,64.0,12.0,8
Trystane Martell,56.0,15.0,8
Alliser Thorne,48.0,16.0,8
Ellaria Sand,48.0,16.0,8
Myrcella Baratheon,32.0,18.0,8
Pit Announcer,32.0,18.0,8
Ser Bronn,32.0,18.0,8
Jaime Lannister,32.0,18.0,8
Tycho Nestoris,16.0,22.0,8
Samwell Tarly,16.0,22.0,8
Meryn Trant,16.0,22.0,8
Areo Hotah,16.0,22.0,8
Selyse Baratheon,16.0,22.0,8
Jon Snow,8.0,27.0,8
Tyene Sand,8.0,27.0,8
Yohn Royce,0.0,29.0,8
Eddison Tollett,0.0,29.0,8
Lhara,0.0,29.0,8
Ternesio Terys,0.0,29.0,8
Bowen Marsh,0.0,29.0,8
Petyr Baelish,0.0,29.0,8
Malko,0.0,29.0,8
White Walkers Master,0.0,29.0,8
Lancel Lannister,0.0,29.0,8
Denys Mallister,0.0,29.0,8
Loboda,0.0,29.0,8
Janos Slynt,0.0,29.0,8
Barristan Selmy,0.0,29.0,8
Podrick Payne,0.0,29.0,8
Myranda,0.0,29.0,8
Keyr,0.0,29.0,8
Tommen Baratheon,0.0,29.0,8
Roose Bolton,0.0,29.0,8
Septa Unella,0.0,29.0,8
Tormund Giantsbane,0.0,29.0,8
Walda Bolton,0.0,29.0,8
Olenna Tyrell,0.0,29.0,8
Margaery Tyrell,0.0,29.0,8
Brienne of Tarth,0.0,29.0,8
Grey Worm,0.0,29.0,8
Mance Rayder,0.0,29.0,8
Lord of Bones,0.0,29.0,8
Sansa Stark,0.0,29.0,8
Nymeria Sand,0.0,29.0,8
Jaqen Hghar,0.0,29.0,8
Theon Greyjoy,0.0,29.0,8
The High Sparrow,0.0,29.0,8
Pycelle,0.0,29.0,8
Maggy the Frog,0.0,29.0,8
Kevan Lannister,0.0,29.0,8
Gregor Clegane,0.0,29.0,8
Cersei Lannister,0.0,29.0,8
Robin Arryn,0.0,29.0,8
Varys,0.0,29.0,8
Loras Tyrell,0.0,29.0,8
Obara Sand,0.0,29.0,8
Yezzan,0.0,29.0,8
Olly,0.0,29.0,8
Gilly,0.0,29.0,8
Qyburn,0.0,29.0,8
