Episode,Player,Award,Points,Character,Cheat,Multiplier
4,Dan,Wit,32,Tyrion Lannister,False,
4,Dan,Wit,16,Roose Bolton,False,
4,Dan,Wit,8,,False,
4,Dan,Jockey,32,Myranda,False,
4,Dan,Jockey,16,Tormund Giantsbane,False,
4,Dan,Jockey,8,Daenerys Targaryen,False,
4,Dan,Bloodshed,32,Ramsay Bolton,False,
4,Dan,Bloodshed,16,Theon Greyjoy,False,
4,Dan,Bloodshed,8,Daenerys Targaryen,False,
4,Dan,Style,32,Myranda,False,
4,Dan,Style,16,Sansa Stark,False,
4,Dan,Style,8,,False,
4,Dan,Support,32,Samwell Tarly,False,
4,Dan,Support,16,Brienne of Tarth,False,
4,Dan,Support,8,Walda Bolton,False,
4,Hayley,Wit,32,Tyrion Lannister,False,
4,Hayley,Wit,16,Missandei,False,
4,Hayley,Wit,8,,False,
4,Hayley,Jockey,32,Myranda,False,
4,Hayley,Jockey,16,Tormund Giantsbane,False,
4,Hayley,Jockey,8,Daenerys Targaryen,False,
4,Hayley,Bloodshed,32,Jorah Mormont,False,
4,Hayley,Bloodshed,16,Daenerys Targaryen,False,
4,Hayley,Bloodshed,8,Ramsay Bolton,False,
4,Hayley,Style,32,Missandei,False,
4,Hayley,Style,16,Myranda,False,
4,Hayley,Style,8,,False,
4,Hayley,Support,32,Samwell Tarly,False,
4,Hayley,Support,16,Jorah Mormont,False,
4,Hayley,Support,8,,False,
4,Jannerah Silverscale,Wit,32,Jon Snow,False,
4,Jannerah Silverscale,Wit,16,Missandei,False,
4,Jannerah Silverscale,Wit,8,,False,
4,Jannerah Silverscale,Jockey,32,Jon Snow,False,
4,Jannerah Silverscale,Jockey,16,Daenerys Targaryen,False,
4,Jannerah Silverscale,Jockey,8,,False,
4,Jannerah Silverscale,Bloodshed,32,Daenerys Targaryen,False,
4,Jannerah Silverscale,Bloodshed,16,Myranda,False,
4,Jannerah Silverscale,Bloodshed,8,,False,
4,Jannerah Silverscale,Style,32,Theon Greyjoy,False,
4,Jannerah Silverscale,Style,16,Melisandre,False,
4,Jannerah Silverscale,Style,8,,False,
4,Jannerah Silverscale,Support,32,Brienne of Tarth,False,
4,Jannerah Silverscale,Support,16,Samwell Tarly,False,
4,Jannerah Silverscale,Support,8,,False,
4,Ivarius Ironsight,Wit,32,Ramsay Bolton,False,
4,Ivarius Ironsight,Wit,16,Missandei,False,
4,Ivarius Ironsight,Wit,8,,False,
4,Ivarius Ironsight,Jockey,32,Jon Snow,False,
4,Ivarius Ironsight,Jockey,16,Daenerys Targaryen,False,
4,Ivarius Ironsight,Jockey,8,,False,
4,Ivarius Ironsight,Bloodshed,32,Daenerys Targaryen,False,
4,Ivarius Ironsight,Bloodshed,16,Jorah Mormont,False,
4,Ivarius Ironsight,Bloodshed,8,,False,
4,Ivarius Ironsight,Style,32,Missandei,False,
4,Ivarius Ironsight,Style,16,Jorah Mormont,False,
4,Ivarius Ironsight,Style,8,,False,
4,Ivarius Ironsight,Support,32,Sansa Stark,False,
4,Ivarius Ironsight,Support,16,Brienne of Tarth,False,
4,Ivarius Ironsight,Support,8,,False,
4,Rob o Bones,Wit,32,Roose Bolton,False,
4,Rob o Bones,Wit,16,Tyrion Lannister,False,
4,Rob o Bones,Wit,8,,False,
4,Rob o Bones,Jockey,32,Jon Snow,False,
4,Rob o Bones,Jockey,16,Myranda,False,
4,Rob o Bones,Jockey,8,,False,
4,Rob o Bones,Bloodshed,32,Daenerys Targaryen,False,
4,Rob o Bones,Bloodshed,16,Roose Bolton,False,
4,Rob o Bones,Bloodshed,8,,False,
4,Rob o Bones,Style,32,Myranda,False,
4,Rob o Bones,Style,16,Hizdahr zo Loraq,False,
4,Rob o Bones,Style,8,,False,
4,Rob o Bones,Support,32,Missandei,False,
4,Rob o Bones,Support,16,Jorah Mormont,False,
4,Rob o Bones,Support,8,,False,
4,Daisy,Wit,32,Hizdahr zo Loraq,False,
4,Daisy,Wit,16,Grey Worm,False,
4,Daisy,Wit,8,,False,
4,Daisy,Jockey,32,Daenerys Targaryen,False,
4,Daisy,Jockey,16,Jon Snow,False,
4,Daisy,Jockey,8,,False,
4,Daisy,Bloodshed,32,Jorah Mormont,False,
4,Daisy,Bloodshed,16,Daario Naharis,False,
4,Daisy,Bloodshed,8,,False,
4,Daisy,Style,32,Tormund Giantsbane,False,
4,Daisy,Style,16,Missandei,False,
4,Daisy,Style,8,,False,
4,Daisy,Support,32,Brienne of Tarth,False,
4,Daisy,Support,16,Davos Seaworth,False,
4,Daisy,Support,8,,False,
4,Max Ng,Wit,32,Tyrion Lannister,False,
4,Max Ng,Wit,16,Myranda,False,
4,Max Ng,Wit,8,,False,
