Character,Points,Rank,Index,Episode
Shireen Baratheon,1920,1.0,1820,8
Doran Martell,1029,2.0,929,8
Hizdahr zo Loraq,714,3.0,614,8
Jorah Mormont,470,4.0,370,8
Stannis Baratheon,357,5.0,257,8
Mace Tyrell,357,5.0,257,8
Daenerys Targaryen,233,7.0,133,8
Missandei,211,8.0,111,8
Jaime Lannister,178,9.0,78,8
Pit Announcer,178,9.0,78,8
Melisandre,160,11.0,60,8
Arya Stark,147,12.0,47,8
Davos Seaworth,129,13.0,29,8
Daario Naharis,123,14.0,23,8
Tyrion Lannister,122,15.0,22,8
Alliser Thorne,112,16.0,12,8
Trystane Martell,101,17.0,1,8
Selyse Baratheon,89,18.0,-12,8
Meryn Trant,89,18.0,-12,8
Ramsay Bolton,82,20.0,-21,8
Ellaria Sand,71,21.0,-40,8
Ser Bronn,44,22.0,-127,8
Myrcella Baratheon,33,23.0,-203,8
Samwell Tarly,25,24.0,-300,8
Tycho Nestoris,23,25.0,-334,8
Areo Hotah,19,26.0,-426,8
Tyene Sand,14,27.0,-614,8
Jon Snow,10,28.0,-900,8
Barristan Selmy,0,29.0,0,8
Bowen Marsh,0,29.0,0,8
Brienne of Tarth,0,29.0,0,8
Cersei Lannister,0,29.0,0,8
Denys Mallister,0,29.0,0,8
Eddison Tollett,0,29.0,0,8
Gilly,0,29.0,0,8
Gregor Clegane,0,29.0,0,8
Grey Worm,0,29.0,0,8
Janos Slynt,0,29.0,0,8
Jaqen Hghar,0,29.0,0,8
Kevan Lannister,0,29.0,0,8
Keyr,0,29.0,0,8
Lancel Lannister,0,29.0,0,8
Lhara,0,29.0,0,8
Loboda,0,29.0,0,8
Loras Tyrell,0,29.0,0,8
Lord of Bones,0,29.0,0,8
Maggy the Frog,0,29.0,0,8
Malko,0,29.0,0,8
Mance Rayder,0,29.0,0,8
Margaery Tyrell,0,29.0,0,8
Myranda,0,29.0,0,8
Nymeria Sand,0,29.0,0,8
Obara Sand,0,29.0,0,8
Olenna Tyrell,0,29.0,0,8
Olly,0,29.0,0,8
Petyr Baelish,0,29.0,0,8
Podrick Payne,0,29.0,0,8
Pycelle,0,29.0,0,8
Qyburn,0,29.0,0,8
Robin Arryn,0,29.0,0,8
Roose Bolton,0,29.0,0,8
Sansa Stark,0,29.0,0,8
Septa Unella,0,29.0,0,8
Ternesio Terys,0,29.0,0,8
The High Sparrow,0,29.0,0,8
Theon Greyjoy,0,29.0,0,8
Tommen Baratheon,0,29.0,0,8
Tormund Giantsbane,0,29.0,0,8
Varys,0,29.0,0,8
Walda Bolton,0,29.0,0,8
White Walkers Master,0,29.0,0,8
Yezzan,0,29.0,0,8
Yohn Royce,0,29.0,0,8
