Multiplier,Daisy,Dan,Hayley,Ivarius Ironsight,Jannerah Silverscale,Josh Du,Kent,Kirsty,Mart,Max Ng,Rob o Bones,Sherin the Sedulous,Episode
0.125,34.0,75.0,0.0,0.0,34.0,22.0,8.0,28.0,22.0,34.0,34.0,8.0,2
0.25,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,8.0,48.0,12.0,2
0.5,4.0,0.0,24.0,0.0,24.0,0.0,0.0,20.0,56.0,140.0,0.0,0.0,2
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,2
2.0,0.0,160.0,0.0,16.0,160.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,2
4.0,0.0,0.0,288.0,0.0,0.0,32.0,0.0,0.0,0.0,448.0,0.0,0.0,2
8.0,64.0,0.0,0.0,0.0,1408.0,0.0,0.0,0.0,704.0,640.0,0.0,0.0,2
