Character,Points,Rank,Episode
Tyene Sand,336.0,1.0,6
The High Sparrow,320.0,2.0,6
Ramsay Bolton,224.0,3.0,6
Tyrion Lannister,224.0,3.0,6
Jorah Mormont,216.0,5.0,6
Samwell Tarly,208.0,6.0,6
Olenna Tyrell,208.0,6.0,6
Petyr Baelish,200.0,8.0,6
Daario Naharis,120.0,9.0,6
Daenerys Targaryen,112.0,10.0,6
Lancel Lannister,112.0,10.0,6
Gilly,80.0,12.0,6
Myrcella Baratheon,80.0,12.0,6
Ser Bronn,64.0,14.0,6
Theon Greyjoy,64.0,14.0,6
Margaery Tyrell,48.0,16.0,6
Malko,40.0,17.0,6
Stannis Baratheon,32.0,18.0,6
Cersei Lannister,32.0,18.0,6
Davos Seaworth,32.0,18.0,6
Hizdahr zo Loraq,24.0,21.0,6
Walda Bolton,16.0,22.0,6
Brienne of Tarth,8.0,23.0,6
Areo Hotah,8.0,23.0,6
Obara Sand,8.0,23.0,6
Yohn Royce,0.0,26.0,6
Tommen Baratheon,0.0,26.0,6
Eddison Tollett,0.0,26.0,6
Jaime Lannister,0.0,26.0,6
Mace Tyrell,0.0,26.0,6
Ternesio Terys,0.0,26.0,6
Bowen Marsh,0.0,26.0,6
Septa Unella,0.0,26.0,6
Lhara,0.0,26.0,6
Meryn Trant,0.0,26.0,6
White Walkers Master,0.0,26.0,6
Denys Mallister,0.0,26.0,6
Shireen Baratheon,0.0,26.0,6
Janos Slynt,0.0,26.0,6
Barristan Selmy,0.0,26.0,6
Roose Bolton,0.0,26.0,6
Selyse Baratheon,0.0,26.0,6
Podrick Payne,0.0,26.0,6
Myranda,0.0,26.0,6
Keyr,0.0,26.0,6
Loboda,0.0,26.0,6
Tormund Giantsbane,0.0,26.0,6
Pit Announcer,0.0,26.0,6
Maggy the Frog,0.0,26.0,6
Grey Worm,0.0,26.0,6
Mance Rayder,0.0,26.0,6
Lord of Bones,0.0,26.0,6
Sansa Stark,0.0,26.0,6
Nymeria Sand,0.0,26.0,6
Jaqen Hghar,0.0,26.0,6
Arya Stark,0.0,26.0,6
Pycelle,0.0,26.0,6
Melisandre,0.0,26.0,6
Kevan Lannister,0.0,26.0,6
Jon Snow,0.0,26.0,6
Gregor Clegane,0.0,26.0,6
Tycho Nestoris,0.0,26.0,6
Ellaria Sand,0.0,26.0,6
Robin Arryn,0.0,26.0,6
Trystane Martell,0.0,26.0,6
Alliser Thorne,0.0,26.0,6
Varys,0.0,26.0,6
Loras Tyrell,0.0,26.0,6
Doran Martell,0.0,26.0,6
Missandei,0.0,26.0,6
Yezzan,0.0,26.0,6
Olly,0.0,26.0,6
Qyburn,0.0,26.0,6
