Character,Points,Rank,Index,Episode
Malko,306,1.0,206,5
Jaime Lannister,193,2.0,93,5
Cersei Lannister,128,3.0,28,5
Olenna Tyrell,105,4.0,5,5
Tyrion Lannister,100,5.0,0,5
Ser Bronn,96,6.0,-4,5
Sansa Stark,89,7.0,-12,5
Petyr Baelish,77,8.0,-29,5
Obara Sand,66,9.0,-51,5
Ramsay Bolton,53,10.0,-88,5
Arya Stark,53,10.0,-88,5
The High Sparrow,49,12.0,-104,5
Myranda,48,13.0,-108,5
Jorah Mormont,45,14.0,-122,5
Tommen Baratheon,32,15.0,-212,5
Theon Greyjoy,31,16.0,-222,5
Jaqen Hghar,31,16.0,-222,5
Doran Martell,27,18.0,-270,5
Loras Tyrell,27,18.0,-270,5
Myrcella Baratheon,20,20.0,-400,5
Tyene Sand,20,20.0,-400,5
Areo Hotah,17,22.0,-488,5
Ellaria Sand,17,22.0,-488,5
Lancel Lannister,16,24.0,-525,5
Nymeria Sand,12,25.0,-733,5
Margaery Tyrell,10,26.0,-900,5
Alliser Thorne,0,27.0,0,5
Barristan Selmy,0,27.0,0,5
Bowen Marsh,0,27.0,0,5
Brienne of Tarth,0,27.0,0,5
Daario Naharis,0,27.0,0,5
Daenerys Targaryen,0,27.0,0,5
Davos Seaworth,0,27.0,0,5
Denys Mallister,0,27.0,0,5
Eddison Tollett,0,27.0,0,5
Gilly,0,27.0,0,5
Gregor Clegane,0,27.0,0,5
Grey Worm,0,27.0,0,5
Hizdahr zo Loraq,0,27.0,0,5
Janos Slynt,0,27.0,0,5
Jon Snow,0,27.0,0,5
Kevan Lannister,0,27.0,0,5
Keyr,0,27.0,0,5
Lhara,0,27.0,0,5
Loboda,0,27.0,0,5
Lord of Bones,0,27.0,0,5
Mace Tyrell,0,27.0,0,5
Maggy the Frog,0,27.0,0,5
Mance Rayder,0,27.0,0,5
Melisandre,0,27.0,0,5
Meryn Trant,0,27.0,0,5
Missandei,0,27.0,0,5
Olly,0,27.0,0,5
Pit Announcer,0,27.0,0,5
Podrick Payne,0,27.0,0,5
Pycelle,0,27.0,0,5
Qyburn,0,27.0,0,5
Robin Arryn,0,27.0,0,5
Roose Bolton,0,27.0,0,5
Samwell Tarly,0,27.0,0,5
Selyse Baratheon,0,27.0,0,5
Septa Unella,0,27.0,0,5
Shireen Baratheon,0,27.0,0,5
Stannis Baratheon,0,27.0,0,5
Ternesio Terys,0,27.0,0,5
Tormund Giantsbane,0,27.0,0,5
Trystane Martell,0,27.0,0,5
Tycho Nestoris,0,27.0,0,5
Varys,0,27.0,0,5
Walda Bolton,0,27.0,0,5
White Walkers Master,0,27.0,0,5
Yezzan,0,27.0,0,5
Yohn Royce,0,27.0,0,5
