Multiplier,Daisy,Dan,Hayley,Ivarius Ironsight,Jannerah Silverscale,Josh Du,Kent,Kirsty,Mart,Max Ng,Rob o Bones,Sherin the Sedulous,Episode
0.125,0.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,7
0.25,0.0,0.0,0.0,36.0,40.0,20.0,0.0,0.0,0.0,0.0,4.0,12.0,7
0.5,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,148.0,0.0,0.0,7
1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,7
2.0,0.0,224.0,0.0,64.0,224.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,7
4.0,0.0,0.0,0.0,0.0,64.0,0.0,1984.0,0.0,0.0,0.0,0.0,0.0,7
8.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,704.0,0.0,0.0,0.0,7
