Episode,Player,Award,Points,Character
3,Sherin the Sedulous,Wit,8,Tyrion Lannister
3,Sherin the Sedulous,Jockey,32,Petyr Baelish
3,Sherin the Sedulous,Jockey,16,Cersei Lannister
3,Sherin the Sedulous,Jockey,8,
3,Sherin the Sedulous,Bloodshed,32,Grey Worm
3,Sherin the Sedulous,Bloodshed,16,Barristan Selmy
3,Sherin the Sedulous,Bloodshed,8,Lancel Lannister
3,Sherin the Sedulous,Style,32,Loras Tyrell
3,Sherin the Sedulous,Style,16,Margaery Tyrell
3,Sherin the Sedulous,Style,8,
3,Sherin the Sedulous,Support,32,Ser Bronn
3,Sherin the Sedulous,Support,16,Barristan Selmy
3,Sherin the Sedulous,Support,8,Nymeria Sand
3,Josh Du,Wit,32,Ser Bronn
3,Josh Du,Wit,16,Jorah Mormont
3,Josh Du,Wit,8,
3,Josh Du,Jockey,32,Cersei Lannister
3,Josh Du,Jockey,16,Petyr Baelish
3,Josh Du,Jockey,8,
3,Josh Du,Bloodshed,32,Grey Worm
3,Josh Du,Bloodshed,16,Ser Bronn
3,Josh Du,Bloodshed,8,Barristan Selmy
3,Josh Du,Style,32,Melisandre
3,Josh Du,Style,16,Sansa Stark
3,Josh Du,Style,8,
3,Josh Du,Support,32,Loras Tyrell
3,Josh Du,Support,16,Tommen Baratheon
3,Josh Du,Support,8,Samwell Tarly
3,Kirsty,Wit,32,Melisandre
3,Kirsty,Wit,16,Obara Sand
3,Kirsty,Wit,8,
3,Kirsty,Jockey,32,Cersei Lannister
3,Kirsty,Jockey,16,Jorah Mormont
3,Kirsty,Jockey,8,Petyr Baelish
3,Kirsty,Bloodshed,32,Barristan Selmy
3,Kirsty,Bloodshed,16,Obara Sand
3,Kirsty,Bloodshed,8,Grey Worm
3,Kirsty,Style,32,Melisandre
3,Kirsty,Style,16,Ellaria Sand
3,Kirsty,Style,8,Daenerys Targaryen
3,Kirsty,Support,32,Ser Bronn
3,Kirsty,Support,16,Barristan Selmy
3,Kirsty,Support,8,Sansa Stark
