Character,Points,Rank,Index,Episode
Barristan Selmy,2269,1.0,2169,3
Ser Bronn,787,2.0,687,3
Obara Sand,609,3.0,509,3
Cersei Lannister,574,4.0,474,3
Lancel Lannister,567,5.0,467,3
Melisandre,450,6.0,350,3
Stannis Baratheon,257,7.0,157,3
Grey Worm,241,8.0,141,3
Jaime Lannister,206,9.0,106,3
Ellaria Sand,205,10.0,105,3
Loras Tyrell,172,11.0,72,3
Jorah Mormont,172,11.0,72,3
Margaery Tyrell,144,13.0,44,3
Petyr Baelish,106,14.0,6,3
Hizdahr zo Loraq,103,15.0,3,3
Tommen Baratheon,103,15.0,3,3
Tyene Sand,83,17.0,-20,3
Nymeria Sand,78,18.0,-28,3
Sansa Stark,67,19.0,-49,3
Samwell Tarly,59,20.0,-69,3
Tyrion Lannister,54,21.0,-85,3
The High Sparrow,42,22.0,-138,3
Daenerys Targaryen,10,23.0,-900,3
Alliser Thorne,0,24.0,0,3
Areo Hotah,0,24.0,0,3
Arya Stark,0,24.0,0,3
Bowen Marsh,0,24.0,0,3
Brienne of Tarth,0,24.0,0,3
Daario Naharis,0,24.0,0,3
Davos Seaworth,0,24.0,0,3
Denys Mallister,0,24.0,0,3
Doran Martell,0,24.0,0,3
Eddison Tollett,0,24.0,0,3
Gilly,0,24.0,0,3
Gregor Clegane,0,24.0,0,3
Janos Slynt,0,24.0,0,3
Jaqen Hghar,0,24.0,0,3
Jon Snow,0,24.0,0,3
Kevan Lannister,0,24.0,0,3
Keyr,0,24.0,0,3
Lhara,0,24.0,0,3
Loboda,0,24.0,0,3
Lord of Bones,0,24.0,0,3
Mace Tyrell,0,24.0,0,3
Maggy the Frog,0,24.0,0,3
Malko,0,24.0,0,3
Mance Rayder,0,24.0,0,3
Meryn Trant,0,24.0,0,3
Missandei,0,24.0,0,3
Myranda,0,24.0,0,3
Myrcella Baratheon,0,24.0,0,3
Olenna Tyrell,0,24.0,0,3
Olly,0,24.0,0,3
Pit Announcer,0,24.0,0,3
Podrick Payne,0,24.0,0,3
Pycelle,0,24.0,0,3
Qyburn,0,24.0,0,3
Ramsay Bolton,0,24.0,0,3
Robin Arryn,0,24.0,0,3
Roose Bolton,0,24.0,0,3
Selyse Baratheon,0,24.0,0,3
Septa Unella,0,24.0,0,3
Shireen Baratheon,0,24.0,0,3
Ternesio Terys,0,24.0,0,3
Theon Greyjoy,0,24.0,0,3
Tormund Giantsbane,0,24.0,0,3
Trystane Martell,0,24.0,0,3
Tycho Nestoris,0,24.0,0,3
Varys,0,24.0,0,3
Walda Bolton,0,24.0,0,3
White Walkers Master,0,24.0,0,3
Yezzan,0,24.0,0,3
Yohn Royce,0,24.0,0,3
