Character,Points,Rank,Index,Episode
Tommen Baratheon,1134,1.0,1034,2
Janos Slynt,722,2.0,622,2
Margaery Tyrell,600,3.0,500,2
Qyburn,567,4.0,467,2
Roose Bolton,515,5.0,415,2
Podrick Payne,464,6.0,364,2
Jon Snow,404,7.0,304,2
Lancel Lannister,257,8.0,157,2
Stannis Baratheon,257,8.0,157,2
Davos Seaworth,246,10.0,146,2
Petyr Baelish,242,11.0,142,2
Ramsay Bolton,230,12.0,130,2
Tyrion Lannister,172,13.0,72,2
Cersei Lannister,150,14.0,50,2
The High Sparrow,148,15.0,48,2
Jorah Mormont,132,16.0,32,2
Varys,60,17.0,-66,2
Arya Stark,60,17.0,-66,2
Jaqen Hghar,59,19.0,-69,2
Sansa Stark,57,20.0,-75,2
Daenerys Targaryen,40,21.0,-150,2
Olly,30,22.0,-233,2
Alliser Thorne,21,23.0,-376,2
Samwell Tarly,14,24.0,-614,2
Pycelle,11,25.0,-809,2
Theon Greyjoy,10,26.0,-900,2
Areo Hotah,0,27.0,0,2
Barristan Selmy,0,27.0,0,2
Bowen Marsh,0,27.0,0,2
Brienne of Tarth,0,27.0,0,2
Daario Naharis,0,27.0,0,2
Denys Mallister,0,27.0,0,2
Doran Martell,0,27.0,0,2
Eddison Tollett,0,27.0,0,2
Ellaria Sand,0,27.0,0,2
Gilly,0,27.0,0,2
Gregor Clegane,0,27.0,0,2
Grey Worm,0,27.0,0,2
Hizdahr zo Loraq,0,27.0,0,2
Jaime Lannister,0,27.0,0,2
Kevan Lannister,0,27.0,0,2
Keyr,0,27.0,0,2
Lhara,0,27.0,0,2
Loboda,0,27.0,0,2
Loras Tyrell,0,27.0,0,2
Lord of Bones,0,27.0,0,2
Mace Tyrell,0,27.0,0,2
Maggy the Frog,0,27.0,0,2
Malko,0,27.0,0,2
Mance Rayder,0,27.0,0,2
Melisandre,0,27.0,0,2
Meryn Trant,0,27.0,0,2
Missandei,0,27.0,0,2
Myranda,0,27.0,0,2
Myrcella Baratheon,0,27.0,0,2
Nymeria Sand,0,27.0,0,2
Obara Sand,0,27.0,0,2
Olenna Tyrell,0,27.0,0,2
Pit Announcer,0,27.0,0,2
Robin Arryn,0,27.0,0,2
Selyse Baratheon,0,27.0,0,2
Septa Unella,0,27.0,0,2
Ser Bronn,0,27.0,0,2
Shireen Baratheon,0,27.0,0,2
Ternesio Terys,0,27.0,0,2
Tormund Giantsbane,0,27.0,0,2
Trystane Martell,0,27.0,0,2
Tycho Nestoris,0,27.0,0,2
Tyene Sand,0,27.0,0,2
Walda Bolton,0,27.0,0,2
White Walkers Master,0,27.0,0,2
Yezzan,0,27.0,0,2
Yohn Royce,0,27.0,0,2
