Multiplier,Daisy,Dan,Hayley,Ivarius Ironsight,Jannerah Silverscale,Josh Du,Kent,Kirsty,Mart,Max Ng,Rob o Bones,Sherin the Sedulous,Episode
0.125,35.0,4.0,0.0,0.0,35.0,41.0,0.0,0.0,41.0,35.0,35.0,0.0,5
0.25,0.0,0.0,0.0,0.0,34.0,20.0,8.0,14.0,0.0,0.0,36.0,20.0,5
0.5,0.0,0.0,120.0,0.0,120.0,0.0,0.0,4.0,60.0,0.0,20.0,120.0,5
1.0,0.0,0.0,192.0,0.0,0.0,96.0,0.0,152.0,0.0,240.0,0.0,0.0,5
2.0,0.0,176.0,0.0,0.0,176.0,64.0,0.0,0.0,64.0,0.0,0.0,64.0,5
4.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,128.0,5
8.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,5
