Multiplier,Daisy,Dan,Hayley,Ivarius Ironsight,Jannerah Silverscale,Josh Du,Kent,Kirsty,Mart,Max Ng,Rob o Bones,Sherin the Sedulous,Episode
0.125,0.0,0.0,26.0,4.0,0.0,14.0,0.0,14.0,14.0,0.0,0.0,0.0,4
0.25,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,8.0,0.0,26.0,0.0,4
0.5,0.0,8.0,60.0,0.0,60.0,4.0,0.0,0.0,8.0,128.0,0.0,0.0,4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2.0,0.0,512.0,0.0,256.0,512.0,0.0,0.0,16.0,0.0,176.0,0.0,0.0,4
4.0,0.0,0.0,0.0,896.0,0.0,0.0,544.0,0.0,0.0,0.0,0.0,0.0,4
8.0,0.0,1984.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,576.0,0.0,0.0,4
