Episode,Player,Award,Points,Character,Cheat,Multiplier
6,Mart,Jockey,32,Petyr Baelish,False,
6,Mart,Jockey,16,Olenna Tyrell,False,
6,Mart,Jockey,8,Stannis Baratheon,False,
6,Mart,Bloodshed,32,Jorah Mormont,False,
6,Mart,Bloodshed,16,Tyene Sand,False,
6,Mart,Bloodshed,8,Petyr Baelish,False,
6,Mart,Style,32,Daenerys Targaryen,False,
6,Mart,Style,16,Petyr Baelish,False,
6,Mart,Style,8,Tyene Sand,False,
6,Mart,Support,32,Lancel Lannister,False,
6,Mart,Support,16,Tyene Sand,False,
6,Mart,Support,8,Malko,False,
6,Sherin the Sedulous,Wit,32,Malko,False,
6,Sherin the Sedulous,Wit,16,Tyrion Lannister,False,
6,Sherin the Sedulous,Wit,8,Ser Bronn,False,
6,Sherin the Sedulous,Jockey,32,Petyr Baelish,False,
6,Sherin the Sedulous,Jockey,16,Walda Bolton,False,
6,Sherin the Sedulous,Jockey,8,,False,
6,Sherin the Sedulous,Bloodshed,32,Ramsay Bolton,False,
6,Sherin the Sedulous,Bloodshed,16,Tyrion Lannister,False,
6,Sherin the Sedulous,Bloodshed,8,Jorah Mormont,False,
6,Sherin the Sedulous,Style,32,Tyene Sand,False,
6,Sherin the Sedulous,Style,16,Daenerys Targaryen,False,
6,Sherin the Sedulous,Style,8,,False,
6,Sherin the Sedulous,Support,32,Davos Seaworth,False,
6,Sherin the Sedulous,Support,16,Lancel Lannister,False,
6,Sherin the Sedulous,Support,8,Hizdahr zo Loraq,False,
6,Josh Du,Wit,32,Ser Bronn,False,
6,Josh Du,Wit,16,Olenna Tyrell,False,
6,Josh Du,Wit,8,,False,
6,Josh Du,Jockey,32,Petyr Baelish,False,
6,Josh Du,Jockey,16,Jorah Mormont,False,
6,Josh Du,Jockey,8,,False,
6,Josh Du,Bloodshed,32,Jorah Mormont,False,
6,Josh Du,Bloodshed,16,Samwell Tarly,False,
6,Josh Du,Bloodshed,8,,False,
6,Josh Du,Style,32,Myrcella Baratheon,False,
6,Josh Du,Style,16,The High Sparrow,False,
6,Josh Du,Style,8,,False,
6,Josh Du,Support,32,Daario Naharis,False,
6,Josh Du,Support,16,Hizdahr zo Loraq,False,
6,Josh Du,Support,8,,False,
6,Kirsty,Wit,32,The High Sparrow,False,
6,Kirsty,Wit,16,Olenna Tyrell,False,
6,Kirsty,Wit,8,Tyene Sand,False,
6,Kirsty,Jockey,32,Tyrion Lannister,False,
6,Kirsty,Jockey,16,The High Sparrow,False,
6,Kirsty,Jockey,8,Jorah Mormont,False,
6,Kirsty,Bloodshed,32,Ramsay Bolton,False,
6,Kirsty,Bloodshed,16,Samwell Tarly,False,
6,Kirsty,Bloodshed,8,Jorah Mormont,False,
6,Kirsty,Style,32,Cersei Lannister,False,
6,Kirsty,Style,16,Daenerys Targaryen,False,
6,Kirsty,Style,8,Areo Hotah,False,
6,Kirsty,Support,32,Gilly,False,
6,Kirsty,Support,16,Tyrion Lannister,False,
6,Kirsty,Support,8,Brienne of Tarth,False,
