Character,Points,Rank,Episode
Margaery Tyrell,600.0,1.0,2
Jon Snow,280.0,2.0,2
Petyr Baelish,272.0,3.0,2
Davos Seaworth,224.0,4.0,2
Ramsay Bolton,192.0,5.0,2
Tyrion Lannister,176.0,6.0,2
Tommen Baratheon,176.0,6.0,2
Janos Slynt,112.0,8.0,2
The High Sparrow,112.0,8.0,2
Cersei Lannister,88.0,10.0,2
Qyburn,88.0,10.0,2
Jorah Mormont,80.0,12.0,2
Roose Bolton,80.0,12.0,2
Podrick Payne,72.0,14.0,2
Varys,64.0,15.0,2
Sansa Stark,48.0,16.0,2
Jaqen Hghar,48.0,16.0,2
Arya Stark,48.0,16.0,2
Stannis Baratheon,40.0,19.0,2
Lancel Lannister,40.0,19.0,2
Daenerys Targaryen,32.0,21.0,2
Alliser Thorne,8.0,22.0,2
Samwell Tarly,8.0,22.0,2
Olly,8.0,22.0,2
Theon Greyjoy,8.0,22.0,2
Pycelle,8.0,22.0,2
Daario Naharis,0.0,27.0,2
Denys Mallister,0.0,27.0,2
Mace Tyrell,0.0,27.0,2
Lhara,0.0,27.0,2
Jaime Lannister,0.0,27.0,2
Eddison Tollett,0.0,27.0,2
Yohn Royce,0.0,27.0,2
Malko,0.0,27.0,2
White Walkers Master,0.0,27.0,2
Lord of Bones,0.0,27.0,2
Meryn Trant,0.0,27.0,2
Loboda,0.0,27.0,2
Shireen Baratheon,0.0,27.0,2
Bowen Marsh,0.0,27.0,2
Grey Worm,0.0,27.0,2
Barristan Selmy,0.0,27.0,2
Myranda,0.0,27.0,2
Keyr,0.0,27.0,2
Brienne of Tarth,0.0,27.0,2
Selyse Baratheon,0.0,27.0,2
Nymeria Sand,0.0,27.0,2
Hizdahr zo Loraq,0.0,27.0,2
Ternesio Terys,0.0,27.0,2
Septa Unella,0.0,27.0,2
Gregor Clegane,0.0,27.0,2
Areo Hotah,0.0,27.0,2
Ser Bronn,0.0,27.0,2
Kevan Lannister,0.0,27.0,2
Tycho Nestoris,0.0,27.0,2
Mance Rayder,0.0,27.0,2
Ellaria Sand,0.0,27.0,2
Melisandre,0.0,27.0,2
Robin Arryn,0.0,27.0,2
Trystane Martell,0.0,27.0,2
Tyene Sand,0.0,27.0,2
Loras Tyrell,0.0,27.0,2
Olenna Tyrell,0.0,27.0,2
Doran Martell,0.0,27.0,2
Obara Sand,0.0,27.0,2
Missandei,0.0,27.0,2
Yezzan,0.0,27.0,2
Myrcella Baratheon,0.0,27.0,2
Gilly,0.0,27.0,2
Maggy the Frog,0.0,27.0,2
Pit Announcer,0.0,27.0,2
Walda Bolton,0.0,27.0,2
Tormund Giantsbane,0.0,27.0,2
