Character,Points,Rank,Index,Episode
Arya Stark,254,1.0,154,9
Qyburn,238,2.0,138,9
Cersei Lannister,221,3.0,121,9
Theon Greyjoy,208,4.0,108,9
Varys,139,5.0,39,9
Ellaria Sand,134,6.0,34,9
Missandei,123,7.0,23,9
Jaqen Hghar,115,8.0,15,9
Tyene Sand,106,9.0,6,9
Olly,105,10.0,5,9
Daario Naharis,104,11.0,4,9
Samwell Tarly,94,12.0,-6,9
Tyrion Lannister,90,13.0,-11,9
Stannis Baratheon,89,14.0,-12,9
Alliser Thorne,87,15.0,-14,9
Brienne of Tarth,64,16.0,-56,9
The High Sparrow,61,17.0,-63,9
Myranda,59,18.0,-69,9
Myrcella Baratheon,55,19.0,-81,9
Jon Snow,53,20.0,-88,9
Gregor Clegane,53,20.0,-88,9
Melisandre,46,22.0,-117,9
Sansa Stark,44,23.0,-127,9
Ser Bronn,29,24.0,-244,9
Meryn Trant,29,24.0,-244,9
Roose Bolton,29,24.0,-244,9
Septa Unella,29,24.0,-244,9
Ramsay Bolton,27,28.0,-270,9
Areo Hotah,26,29.0,-284,9
Obara Sand,17,30.0,-488,9
Nymeria Sand,11,31.0,-809,9
Davos Seaworth,10,32.0,-900,9
Grey Worm,10,32.0,-900,9
Barristan Selmy,0,34.0,0,9
Bowen Marsh,0,34.0,0,9
Daenerys Targaryen,0,34.0,0,9
Denys Mallister,0,34.0,0,9
Doran Martell,0,34.0,0,9
Eddison Tollett,0,34.0,0,9
Gilly,0,34.0,0,9
Hizdahr zo Loraq,0,34.0,0,9
Jaime Lannister,0,34.0,0,9
Janos Slynt,0,34.0,0,9
Jorah Mormont,0,34.0,0,9
Kevan Lannister,0,34.0,0,9
Keyr,0,34.0,0,9
Lancel Lannister,0,34.0,0,9
Lhara,0,34.0,0,9
Loboda,0,34.0,0,9
Loras Tyrell,0,34.0,0,9
Lord of Bones,0,34.0,0,9
Mace Tyrell,0,34.0,0,9
Maggy the Frog,0,34.0,0,9
Malko,0,34.0,0,9
Mance Rayder,0,34.0,0,9
Margaery Tyrell,0,34.0,0,9
Olenna Tyrell,0,34.0,0,9
Petyr Baelish,0,34.0,0,9
Pit Announcer,0,34.0,0,9
Podrick Payne,0,34.0,0,9
Pycelle,0,34.0,0,9
Robin Arryn,0,34.0,0,9
Selyse Baratheon,0,34.0,0,9
Shireen Baratheon,0,34.0,0,9
Ternesio Terys,0,34.0,0,9
Tommen Baratheon,0,34.0,0,9
Tormund Giantsbane,0,34.0,0,9
Trystane Martell,0,34.0,0,9
Tycho Nestoris,0,34.0,0,9
Walda Bolton,0,34.0,0,9
White Walkers Master,0,34.0,0,9
Yezzan,0,34.0,0,9
Yohn Royce,0,34.0,0,9
