Character,Points,Rank,Index,Episode
Jaime Lannister,1253,1.0,1153,1
Samwell Tarly,1147,2.0,1047,1
Podrick Payne,656,3.0,556,1
Brienne of Tarth,454,4.0,354,1
Barristan Selmy,417,5.0,317,1
Daario Naharis,384,6.0,284,1
Jaqen Hghar,368,7.0,268,1
Daenerys Targaryen,312,8.0,212,1
Ellaria Sand,253,9.0,153,1
Doran Martell,225,10.0,125,1
Jon Snow,213,11.0,113,1
Arya Stark,196,12.0,96,1
Ser Bronn,179,13.0,79,1
Cersei Lannister,158,14.0,58,1
Kevan Lannister,147,15.0,47,1
Missandei,141,16.0,41,1
Gilly,141,16.0,41,1
Varys,130,18.0,30,1
Hizdahr zo Loraq,119,19.0,19,1
Sansa Stark,88,20.0,-13,1
Tyrion Lannister,81,21.0,-23,1
Areo Hotah,79,22.0,-26,1
Keyr,59,23.0,-69,1
Qyburn,59,23.0,-69,1
Stannis Baratheon,59,23.0,-69,1
Petyr Baelish,57,26.0,-75,1
Grey Worm,10,27.0,-900,1
Alliser Thorne,0,28.0,0,1
Bowen Marsh,0,28.0,0,1
Davos Seaworth,0,28.0,0,1
Denys Mallister,0,28.0,0,1
Eddison Tollett,0,28.0,0,1
Gregor Clegane,0,28.0,0,1
Janos Slynt,0,28.0,0,1
Jorah Mormont,0,28.0,0,1
Lancel Lannister,0,28.0,0,1
Lhara,0,28.0,0,1
Loboda,0,28.0,0,1
Loras Tyrell,0,28.0,0,1
Lord of Bones,0,28.0,0,1
Mace Tyrell,0,28.0,0,1
Maggy the Frog,0,28.0,0,1
Malko,0,28.0,0,1
Mance Rayder,0,28.0,0,1
Margaery Tyrell,0,28.0,0,1
Melisandre,0,28.0,0,1
Meryn Trant,0,28.0,0,1
Myranda,0,28.0,0,1
Myrcella Baratheon,0,28.0,0,1
Nymeria Sand,0,28.0,0,1
Obara Sand,0,28.0,0,1
Olenna Tyrell,0,28.0,0,1
Olly,0,28.0,0,1
Pit Announcer,0,28.0,0,1
Pycelle,0,28.0,0,1
Ramsay Bolton,0,28.0,0,1
Robin Arryn,0,28.0,0,1
Roose Bolton,0,28.0,0,1
Selyse Baratheon,0,28.0,0,1
Septa Unella,0,28.0,0,1
Shireen Baratheon,0,28.0,0,1
Ternesio Terys,0,28.0,0,1
The High Sparrow,0,28.0,0,1
Theon Greyjoy,0,28.0,0,1
Tommen Baratheon,0,28.0,0,1
Tormund Giantsbane,0,28.0,0,1
Trystane Martell,0,28.0,0,1
Tycho Nestoris,0,28.0,0,1
Tyene Sand,0,28.0,0,1
Walda Bolton,0,28.0,0,1
White Walkers Master,0,28.0,0,1
Yezzan,0,28.0,0,1
Yohn Royce,0,28.0,0,1
