Character,Points,Rank,Episode
Arya Stark,352.0,1.0,9
Theon Greyjoy,288.0,2.0,9
Varys,256.0,3.0,9
Cersei Lannister,224.0,4.0,9
Tyrion Lannister,160.0,5.0,9
Jaqen Hghar,160.0,5.0,9
Daario Naharis,152.0,7.0,9
Ellaria Sand,136.0,8.0,9
Brienne of Tarth,104.0,9.0,9
Tyene Sand,88.0,10.0,9
Samwell Tarly,88.0,10.0,9
The High Sparrow,80.0,12.0,9
Myrcella Baratheon,80.0,12.0,9
Qyburn,64.0,14.0,9
Jon Snow,64.0,14.0,9
Gregor Clegane,64.0,14.0,9
Sansa Stark,64.0,14.0,9
Missandei,56.0,18.0,9
Melisandre,56.0,18.0,9
Alliser Thorne,56.0,18.0,9
Olly,48.0,21.0,9
Ramsay Bolton,40.0,22.0,9
Areo Hotah,32.0,23.0,9
Ser Bronn,32.0,23.0,9
Stannis Baratheon,24.0,25.0,9
Nymeria Sand,16.0,26.0,9
Myranda,16.0,26.0,9
Grey Worm,16.0,26.0,9
Davos Seaworth,16.0,26.0,9
Roose Bolton,8.0,30.0,9
Obara Sand,8.0,30.0,9
Meryn Trant,8.0,30.0,9
Septa Unella,8.0,30.0,9
White Walkers Master,0.0,34.0,9
Malko,0.0,34.0,9
Eddison Tollett,0.0,34.0,9
Jaime Lannister,0.0,34.0,9
Yohn Royce,0.0,34.0,9
Shireen Baratheon,0.0,34.0,9
Denys Mallister,0.0,34.0,9
Hizdahr zo Loraq,0.0,34.0,9
Tommen Baratheon,0.0,34.0,9
Loboda,0.0,34.0,9
Selyse Baratheon,0.0,34.0,9
Janos Slynt,0.0,34.0,9
Barristan Selmy,0.0,34.0,9
Mace Tyrell,0.0,34.0,9
Podrick Payne,0.0,34.0,9
Keyr,0.0,34.0,9
Lhara,0.0,34.0,9
Petyr Baelish,0.0,34.0,9
Ternesio Terys,0.0,34.0,9
Bowen Marsh,0.0,34.0,9
Margaery Tyrell,0.0,34.0,9
Mance Rayder,0.0,34.0,9
Lord of Bones,0.0,34.0,9
Daenerys Targaryen,0.0,34.0,9
Olenna Tyrell,0.0,34.0,9
Pycelle,0.0,34.0,9
Kevan Lannister,0.0,34.0,9
Jorah Mormont,0.0,34.0,9
Tycho Nestoris,0.0,34.0,9
Robin Arryn,0.0,34.0,9
Trystane Martell,0.0,34.0,9
Loras Tyrell,0.0,34.0,9
Doran Martell,0.0,34.0,9
Yezzan,0.0,34.0,9
Gilly,0.0,34.0,9
Maggy the Frog,0.0,34.0,9
Pit Announcer,0.0,34.0,9
Walda Bolton,0.0,34.0,9
Lancel Lannister,0.0,34.0,9
Tormund Giantsbane,0.0,34.0,9
