Episode,Player,Award,Points,Character,Cheat,Multiplier
8,Mart,Jockey,8,Jon Snow,False,
8,Mart,Bloodshed,32,Daenerys Targaryen,False,
8,Mart,Bloodshed,16,Jorah Mormont,False,
8,Mart,Bloodshed,8,Ramsay Bolton,False,
8,Mart,Style,32,Daenerys Targaryen,False,
8,Mart,Style,16,Jorah Mormont,False,
8,Mart,Style,8,Doran Martell,False,
8,Mart,Support,32,Shireen Baratheon,False,
8,Mart,Support,16,Jorah Mormont,False,
8,Mart,Support,8,Davos Seaworth,False,
8,Sherin the Sedulous,Wit,32,Daario Naharis,False,
8,Sherin the Sedulous,Wit,16,Tyrion Lannister,False,
8,Sherin the Sedulous,Wit,8,,False,
8,Sherin the Sedulous,Jockey,32,Arya Stark,False,
8,Sherin the Sedulous,Jockey,16,Trystane Martell,False,
8,Sherin the Sedulous,Jockey,8,,False,
8,Sherin the Sedulous,Bloodshed,32,Jorah Mormont,False,
8,Sherin the Sedulous,Bloodshed,16,Tyrion Lannister,False,
8,Sherin the Sedulous,Bloodshed,8,,False,
8,Sherin the Sedulous,Style,32,Daenerys Targaryen,False,
8,Sherin the Sedulous,Style,16,Pit Announcer,False,
8,Sherin the Sedulous,Style,8,,False,
8,Sherin the Sedulous,Support,32,Davos Seaworth,False,
8,Sherin the Sedulous,Support,16,Jorah Mormont,False,
8,Sherin the Sedulous,Support,8,,False,
8,Josh Du,Wit,32,Ellaria Sand,False,
8,Josh Du,Wit,16,Doran Martell,False,
8,Josh Du,Wit,8,,False,
8,Josh Du,Jockey,32,Jorah Mormont,False,
8,Josh Du,Jockey,16,Ramsay Bolton,False,
8,Josh Du,Jockey,8,,False,
8,Josh Du,Bloodshed,32,Shireen Baratheon,False,
8,Josh Du,Bloodshed,16,Daenerys Targaryen,False,
8,Josh Du,Bloodshed,8,Jorah Mormont,False,
8,Josh Du,Style,32,Myrcella Baratheon,False,
8,Josh Du,Style,16,Missandei,False,
8,Josh Du,Style,8,,False,
8,Josh Du,Support,32,Hizdahr zo Loraq,False,
8,Josh Du,Support,16,Trystane Martell,False,
8,Josh Du,Support,8,,False,
8,Kirsty,Wit,32,Hizdahr zo Loraq,False,
8,Kirsty,Wit,16,Doran Martell,False,
8,Kirsty,Wit,8,,False,
8,Kirsty,Jockey,32,Doran Martell,False,
8,Kirsty,Jockey,16,Stannis Baratheon,False,
8,Kirsty,Jockey,8,,False,
8,Kirsty,Bloodshed,32,Hizdahr zo Loraq,False,
8,Kirsty,Bloodshed,16,Stannis Baratheon,False,
8,Kirsty,Bloodshed,8,Jorah Mormont,False,
8,Kirsty,Style,32,Doran Martell,False,
8,Kirsty,Style,16,Daenerys Targaryen,False,
8,Kirsty,Style,8,Arya Stark,False,
8,Kirsty,Support,32,Jorah Mormont,False,
8,Kirsty,Support,16,Daario Naharis,False,
8,Kirsty,Support,8,Trystane Martell,False,
