Character,Points,Rank,Episode
Ser Bronn,488.0,1.0,3
Barristan Selmy,352.0,2.0,3
Cersei Lannister,336.0,3.0,3
Melisandre,312.0,4.0,3
Grey Worm,224.0,5.0,3
Obara Sand,160.0,6.0,3
Margaery Tyrell,144.0,7.0,3
Ellaria Sand,120.0,8.0,3
Petyr Baelish,120.0,8.0,3
Jorah Mormont,104.0,10.0,3
Lancel Lannister,88.0,11.0,3
Loras Tyrell,64.0,12.0,3
Nymeria Sand,64.0,12.0,3
Tyrion Lannister,56.0,14.0,3
Sansa Stark,56.0,14.0,3
Tyene Sand,40.0,16.0,3
Stannis Baratheon,40.0,16.0,3
Jaime Lannister,32.0,18.0,3
Samwell Tarly,32.0,18.0,3
The High Sparrow,32.0,18.0,3
Hizdahr zo Loraq,16.0,21.0,3
Tommen Baratheon,16.0,21.0,3
Daenerys Targaryen,8.0,23.0,3
Ternesio Terys,0.0,24.0,3
Mace Tyrell,0.0,24.0,3
Lhara,0.0,24.0,3
Bowen Marsh,0.0,24.0,3
Septa Unella,0.0,24.0,3
Eddison Tollett,0.0,24.0,3
Keyr,0.0,24.0,3
Selyse Baratheon,0.0,24.0,3
Roose Bolton,0.0,24.0,3
Yohn Royce,0.0,24.0,3
Myranda,0.0,24.0,3
Malko,0.0,24.0,3
White Walkers Master,0.0,24.0,3
Pit Announcer,0.0,24.0,3
Meryn Trant,0.0,24.0,3
Denys Mallister,0.0,24.0,3
Shireen Baratheon,0.0,24.0,3
Loboda,0.0,24.0,3
Janos Slynt,0.0,24.0,3
Podrick Payne,0.0,24.0,3
Walda Bolton,0.0,24.0,3
Tormund Giantsbane,0.0,24.0,3
Maggy the Frog,0.0,24.0,3
Gilly,0.0,24.0,3
Brienne of Tarth,0.0,24.0,3
Davos Seaworth,0.0,24.0,3
Mance Rayder,0.0,24.0,3
Daario Naharis,0.0,24.0,3
Lord of Bones,0.0,24.0,3
Ramsay Bolton,0.0,24.0,3
Myrcella Baratheon,0.0,24.0,3
Jaqen Hghar,0.0,24.0,3
Arya Stark,0.0,24.0,3
Theon Greyjoy,0.0,24.0,3
Olenna Tyrell,0.0,24.0,3
Areo Hotah,0.0,24.0,3
Pycelle,0.0,24.0,3
Kevan Lannister,0.0,24.0,3
Jon Snow,0.0,24.0,3
Gregor Clegane,0.0,24.0,3
Tycho Nestoris,0.0,24.0,3
Robin Arryn,0.0,24.0,3
Trystane Martell,0.0,24.0,3
Alliser Thorne,0.0,24.0,3
Varys,0.0,24.0,3
Doran Martell,0.0,24.0,3
Missandei,0.0,24.0,3
Yezzan,0.0,24.0,3
Olly,0.0,24.0,3
Qyburn,0.0,24.0,3
