Episode,Player,Award,Points,Character,Cheat,Multiplier
9,Dan,Wit,32,Tyrion Lannister,False,
9,Dan,Wit,16,Daario Naharis,False,
9,Dan,Wit,8,Septa Unella,False,
9,Dan,Jockey,32,Alliser Thorne,False,
9,Dan,Jockey,16,Samwell Tarly,False,
9,Dan,Jockey,8,,False,
9,Dan,Bloodshed,32,Olly,False,
9,Dan,Bloodshed,16,Arya Stark,False,
9,Dan,Bloodshed,8,Ellaria Sand,False,
9,Dan,Style,32,Cersei Lannister,False,
9,Dan,Style,16,Gregor Clegane,False,
9,Dan,Style,8,Arya Stark,False,
9,Dan,Support,32,Theon Greyjoy,False,
9,Dan,Support,16,Brienne of Tarth,False,
9,Dan,Support,8,,False,
9,Hayley,Wit,32,Arya Stark,False,
9,Hayley,Wit,16,Tyrion Lannister,False,
9,Hayley,Wit,8,,False,
9,Hayley,Jockey,32,Ellaria Sand,False,
9,Hayley,Jockey,16,Cersei Lannister,False,
9,Hayley,Jockey,8,Alliser Thorne,False,
9,Hayley,Bloodshed,32,Arya Stark,False,
9,Hayley,Bloodshed,16,Ramsay Bolton,False,
9,Hayley,Bloodshed,8,Jon Snow,False,
9,Hayley,Style,32,Jaqen Hghar,False,
9,Hayley,Style,16,Cersei Lannister,False,
9,Hayley,Style,8,Arya Stark,False,
9,Hayley,Support,32,Theon Greyjoy,False,
9,Hayley,Support,16,Qyburn,False,
9,Hayley,Support,8,,False,
9,Jannerah Silverscale,Wit,32,Varys,False,
9,Jannerah Silverscale,Wit,16,Jaqen Hghar,False,
9,Jannerah Silverscale,Wit,8,,False,
9,Jannerah Silverscale,Jockey,32,Daario Naharis,False,
9,Jannerah Silverscale,Jockey,16,The High Sparrow,False,
9,Jannerah Silverscale,Jockey,8,,False,
9,Jannerah Silverscale,Bloodshed,32,Myrcella Baratheon,False,
9,Jannerah Silverscale,Bloodshed,16,Alliser Thorne,False,
9,Jannerah Silverscale,Bloodshed,8,,False,
9,Jannerah Silverscale,Style,32,Tyene Sand,False,
9,Jannerah Silverscale,Style,16,Tyrion Lannister,False,
9,Jannerah Silverscale,Style,8,,False,
9,Jannerah Silverscale,Support,32,Theon Greyjoy,False,
9,Jannerah Silverscale,Support,16,Brienne of Tarth,False,
9,Jannerah Silverscale,Support,8,,False,
9,Ivarius Ironsight,Wit,32,Varys,False,
9,Ivarius Ironsight,Wit,16,Jaqen Hghar,False,
9,Ivarius Ironsight,Wit,8,Tyene Sand,False,
9,Ivarius Ironsight,Jockey,32,The High Sparrow,False,
9,Ivarius Ironsight,Jockey,16,Daario Naharis,False,
9,Ivarius Ironsight,Jockey,8,Roose Bolton,False,
9,Ivarius Ironsight,Bloodshed,32,Arya Stark,False,
9,Ivarius Ironsight,Bloodshed,16,Ramsay Bolton,False,
9,Ivarius Ironsight,Bloodshed,8,Cersei Lannister,False,
9,Ivarius Ironsight,Style,32,Tyrion Lannister,False,
9,Ivarius Ironsight,Style,16,Sansa Stark,False,
9,Ivarius Ironsight,Style,8,Cersei Lannister,False,
9,Ivarius Ironsight,Support,32,Theon Greyjoy,False,
9,Ivarius Ironsight,Support,16,Brienne of Tarth,False,
9,Ivarius Ironsight,Support,8,,False,
9,Rob o Bones,Wit,32,Tyrion Lannister,False,
9,Rob o Bones,Wit,16,Samwell Tarly,False,
9,Rob o Bones,Wit,8,Daario Naharis,False,
9,Rob o Bones,Jockey,32,Varys,False,
9,Rob o Bones,Jockey,16,Ellaria Sand,False,
9,Rob o Bones,Jockey,8,,False,
9,Rob o Bones,Bloodshed,32,Arya Stark,False,
9,Rob o Bones,Bloodshed,16,Olly,False,
9,Rob o Bones,Bloodshed,8,,False,
9,Rob o Bones,Style,32,Gregor Clegane,False,
9,Rob o Bones,Style,16,Tyene Sand,False,
9,Rob o Bones,Style,8,,False,
9,Rob o Bones,Support,32,Theon Greyjoy,False,
9,Rob o Bones,Support,16,Qyburn,False,
9,Rob o Bones,Support,8,,False,
9,Daisy,Wit,32,Tyene Sand,False,
9,Daisy,Wit,16,Melisandre,False,
9,Daisy,Wit,8,,False,
9,Daisy,Jockey,32,Theon Greyjoy,False,
9,Daisy,Jockey,16,The High Sparrow,False,
9,Daisy,Jockey,8,,False,
9,Daisy,Bloodshed,32,Arya Stark,False,
9,Daisy,Bloodshed,16,Ellaria Sand,False,
9,Daisy,Bloodshed,8,,False,
9,Daisy,Style,32,Cersei Lannister,False,
9,Daisy,Style,16,Jaqen Hghar,False,
9,Daisy,Style,8,,False,
9,Daisy,Support,32,Theon Greyjoy,False,
9,Daisy,Support,16,Ser Bronn,False,
9,Daisy,Support,8,,False,
9,Max Ng,Wit,32,Jaqen Hghar,False,
9,Max Ng,Wit,16,Tyrion Lannister,False,
9,Max Ng,Wit,8,Varys,False,
9,Max Ng,Jockey,32,Ellaria Sand,False,
9,Max Ng,Jockey,16,Daario Naharis,False,
9,Max Ng,Jockey,8,,False,
9,Max Ng,Bloodshed,32,Arya Stark,False,
9,Max Ng,Bloodshed,16,Brienne of Tarth,False,
9,Max Ng,Bloodshed,8,Stannis Baratheon,True,2.0
9,Max Ng,Style,32,Ellaria Sand,False,
9,Max Ng,Style,16,Nymeria Sand,False,
9,Max Ng,Style,8,Obara Sand,False,
9,Max Ng,Support,32,Missandei,False,
