Episode,Player,Award,Points,Character,Cheat,Multiplier
9,Max Ng,Support,16,Grey Worm,False,
9,Max Ng,Support,8,,False,
9,Mart,Wit,32,Varys,False,
9,Mart,Wit,16,Myrcella Baratheon,False,
9,Mart,Wit,8,Jaqen Hghar,False,
9,Mart,Jockey,32,Cersei Lannister,False,
9,Mart,Jockey,16,Varys,False,
9,Mart,Jockey,8,Melisandre,False,
9,Mart,Bloodshed,32,Arya Stark,False,
9,Mart,Bloodshed,16,Myranda,False,
9,Mart,Bloodshed,8,Jon Snow,False,
9,Mart,Style,32,Sansa Stark,False,
9,Mart,Style,16,Myrcella Baratheon,False,
9,Mart,Style,8,Cersei Lannister,False,
9,Mart,Support,32,Varys,False,
9,Mart,Support,16,Theon Greyjoy,False,
9,Mart,Support,8,Jaqen Hghar,False,
9,Sherin the Sedulous,Wit,32,Daario Naharis,False,
9,Sherin the Sedulous,Wit,16,Tyrion Lannister,False,
9,Sherin the Sedulous,Wit,8,Cersei Lannister,False,
9,Sherin the Sedulous,Jockey,32,Arya Stark,False,
9,Sherin the Sedulous,Jockey,16,Sansa Stark,False,
9,Sherin the Sedulous,Jockey,8,Samwell Tarly,False,
9,Sherin the Sedulous,Bloodshed,32,Arya Stark,False,
9,Sherin the Sedulous,Bloodshed,16,Theon Greyjoy,False,
9,Sherin the Sedulous,Bloodshed,8,Ramsay Bolton,False,
9,Sherin the Sedulous,Style,32,Areo Hotah,False,
9,Sherin the Sedulous,Style,16,Myrcella Baratheon,False,
9,Sherin the Sedulous,Style,8,Missandei,False,
9,Sherin the Sedulous,Support,32,Qyburn,False,
9,Sherin the Sedulous,Support,16,Davos Seaworth,False,
9,Sherin the Sedulous,Support,8,Daario Naharis,False,
9,Josh Du,Wit,32,Varys,False,
9,Josh Du,Wit,16,Ser Bronn,False,
9,Josh Du,Wit,8,,False,
9,Josh Du,Jockey,32,Cersei Lannister,False,
9,Josh Du,Jockey,16,The High Sparrow,False,
9,Josh Du,Jockey,8,,False,
9,Josh Du,Bloodshed,32,Arya Stark,False,
9,Josh Du,Bloodshed,16,Jon Snow,False,
9,Josh Du,Bloodshed,8,,False,
9,Josh Du,Style,32,Cersei Lannister,False,
9,Josh Du,Style,16,Gregor Clegane,False,
9,Josh Du,Style,8,,False,
9,Josh Du,Support,32,Brienne of Tarth,False,
9,Josh Du,Support,16,Jaqen Hghar,False,
9,Josh Du,Support,8,,False,
9,Kirsty,Wit,32,Varys,False,
9,Kirsty,Wit,16,Jaqen Hghar,False,
9,Kirsty,Wit,8,,False,
9,Kirsty,Jockey,32,Samwell Tarly,False,
9,Kirsty,Jockey,16,Daario Naharis,False,
9,Kirsty,Jockey,8,Varys,False,
9,Kirsty,Bloodshed,32,Jon Snow,False,
9,Kirsty,Bloodshed,16,Stannis Baratheon,False,
9,Kirsty,Bloodshed,8,Meryn Trant,False,
9,Kirsty,Style,32,Melisandre,False,
9,Kirsty,Style,16,Missandei,False,
9,Kirsty,Style,8,Brienne of Tarth,False,
9,Kirsty,Support,32,Theon Greyjoy,False,
9,Kirsty,Support,16,Samwell Tarly,False,
9,Kirsty,Support,8,Daario Naharis,False,
