Episode,Player,Award,Points,Character
5,Sherin the Sedulous,Jockey,16,Tyrion Lannister
5,Sherin the Sedulous,Jockey,8,
5,Sherin the Sedulous,Bloodshed,32,Ramsay Bolton
5,Sherin the Sedulous,Bloodshed,16,Sansa Stark
5,Sherin the Sedulous,Bloodshed,8,Theon Greyjoy
5,Sherin the Sedulous,Style,32,Malko
5,Sherin the Sedulous,Style,16,Areo Hotah
5,Sherin the Sedulous,Style,8,Myrcella Baratheon
5,Sherin the Sedulous,Support,32,Tyrion Lannister
5,Sherin the Sedulous,Support,16,The High Sparrow
5,Sherin the Sedulous,Support,8,Lancel Lannister
5,Josh Du,Wit,32,Olenna Tyrell
5,Josh Du,Wit,16,Ser Bronn
5,Josh Du,Wit,8,
5,Josh Du,Jockey,32,Cersei Lannister
5,Josh Du,Jockey,16,The High Sparrow
5,Josh Du,Jockey,8,
5,Josh Du,Bloodshed,32,Arya Stark
5,Josh Du,Bloodshed,16,Jorah Mormont
5,Josh Du,Bloodshed,8,
5,Josh Du,Style,32,Petyr Baelish
5,Josh Du,Style,16,Myrcella Baratheon
5,Josh Du,Style,8,
5,Josh Du,Support,32,Loras Tyrell
5,Josh Du,Support,16,Obara Sand
5,Josh Du,Support,8,
5,Kirsty,Wit,32,Tyrion Lannister
5,Kirsty,Wit,16,Olenna Tyrell
5,Kirsty,Wit,8,Ser Bronn
5,Kirsty,Jockey,32,The High Sparrow
5,Kirsty,Jockey,16,Tyrion Lannister
5,Kirsty,Jockey,8,Petyr Baelish
5,Kirsty,Bloodshed,32,Sansa Stark
5,Kirsty,Bloodshed,16,Ser Bronn
5,Kirsty,Bloodshed,8,
5,Kirsty,Style,32,Sansa Stark
5,Kirsty,Style,16,Obara Sand
5,Kirsty,Style,8,Olenna Tyrell
5,Kirsty,Support,32,Tyrion Lannister
5,Kirsty,Support,16,Ser Bronn
5,Kirsty,Support,8,Olenna Tyrell
