Character,Points,Rank,Index,Episode
White Walkers Master,2813,1.0,2713,7
Tormund Giantsbane,1160,2.0,1060,7
Qyburn,491,3.0,391,7
Jon Snow,370,4.0,270,7
Daenerys Targaryen,346,5.0,246,7
Tyrion Lannister,271,6.0,171,7
Arya Stark,173,7.0,73,7
Jorah Mormont,160,8.0,60,7
Lord of Bones,149,9.0,49,7
Loboda,89,10.0,-12,7
Eddison Tollett,89,10.0,-12,7
Walda Bolton,89,10.0,-12,7
Theon Greyjoy,86,13.0,-16,7
Cersei Lannister,82,14.0,-21,7
Gilly,52,15.0,-92,7
Jaqen Hghar,51,16.0,-96,7
Samwell Tarly,51,16.0,-96,7
Ramsay Bolton,16,18.0,-525,7
Margaery Tyrell,13,19.0,-669,7
Kevan Lannister,10,20.0,-900,7
Alliser Thorne,0,21.0,0,7
Areo Hotah,0,21.0,0,7
Barristan Selmy,0,21.0,0,7
Bowen Marsh,0,21.0,0,7
Brienne of Tarth,0,21.0,0,7
Daario Naharis,0,21.0,0,7
Davos Seaworth,0,21.0,0,7
Denys Mallister,0,21.0,0,7
Doran Martell,0,21.0,0,7
Ellaria Sand,0,21.0,0,7
Gregor Clegane,0,21.0,0,7
Grey Worm,0,21.0,0,7
Hizdahr zo Loraq,0,21.0,0,7
Jaime Lannister,0,21.0,0,7
Janos Slynt,0,21.0,0,7
Keyr,0,21.0,0,7
Lancel Lannister,0,21.0,0,7
Lhara,0,21.0,0,7
Loras Tyrell,0,21.0,0,7
Mace Tyrell,0,21.0,0,7
Maggy the Frog,0,21.0,0,7
Malko,0,21.0,0,7
Mance Rayder,0,21.0,0,7
Melisandre,0,21.0,0,7
Meryn Trant,0,21.0,0,7
Missandei,0,21.0,0,7
Myranda,0,21.0,0,7
Myrcella Baratheon,0,21.0,0,7
Nymeria Sand,0,21.0,0,7
Obara Sand,0,21.0,0,7
Olenna Tyrell,0,21.0,0,7
Olly,0,21.0,0,7
Petyr Baelish,0,21.0,0,7
Pit Announcer,0,21.0,0,7
Podrick Payne,0,21.0,0,7
Pycelle,0,21.0,0,7
Robin Arryn,0,21.0,0,7
Roose Bolton,0,21.0,0,7
Sansa Stark,0,21.0,0,7
Selyse Baratheon,0,21.0,0,7
Septa Unella,0,21.0,0,7
Ser Bronn,0,21.0,0,7
Shireen Baratheon,0,21.0,0,7
Stannis Baratheon,0,21.0,0,7
Ternesio Terys,0,21.0,0,7
The High Sparrow,0,21.0,0,7
Tommen Baratheon,0,21.0,0,7
Trystane Martell,0,21.0,0,7
Tycho Nestoris,0,21.0,0,7
Tyene Sand,0,21.0,0,7
Varys,0,21.0,0,7
Yezzan,0,21.0,0,7
Yohn Royce,0,21.0,0,7
