Character,Points,Rank,Index,Episode
Stannis Baratheon,1287,1.0,1187,0
Podrick Payne,760,2.0,660,0
Varys,630,3.0,530,0
Jon Snow,537,4.0,437,0
Mance Rayder,534,5.0,434,0
Lancel Lannister,526,6.0,426,0
Maggy the Frog,526,6.0,426,0
Yohn Royce,351,8.0,251,0
Margaery Tyrell,281,9.0,181,0
Melisandre,262,10.0,162,0
Cersei Lannister,248,11.0,148,0
Daario Naharis,247,12.0,147,0
Robin Arryn,209,13.0,109,0
Tyrion Lannister,177,14.0,77,0
Jaime Lannister,175,15.0,75,0
Daenerys Targaryen,147,16.0,47,0
Loras Tyrell,147,16.0,47,0
Shireen Baratheon,117,18.0,17,0
Petyr Baelish,88,19.0,-13,0
Sansa Stark,65,20.0,-53,0
Grey Worm,58,21.0,-72,0
Brienne of Tarth,48,22.0,-108,0
The High Sparrow,48,22.0,-108,0
Davos Seaworth,10,24.0,-900,0
Alliser Thorne,0,25.0,0,0
Areo Hotah,0,25.0,0,0
Arya Stark,0,25.0,0,0
Barristan Selmy,0,25.0,0,0
Bowen Marsh,0,25.0,0,0
Denys Mallister,0,25.0,0,0
Doran Martell,0,25.0,0,0
Eddison Tollett,0,25.0,0,0
Ellaria Sand,0,25.0,0,0
Gilly,0,25.0,0,0
Gregor Clegane,0,25.0,0,0
Hizdahr zo Loraq,0,25.0,0,0
Janos Slynt,0,25.0,0,0
Jaqen Hghar,0,25.0,0,0
Jorah Mormont,0,25.0,0,0
Kevan Lannister,0,25.0,0,0
Keyr,0,25.0,0,0
Lhara,0,25.0,0,0
Loboda,0,25.0,0,0
Lord of Bones,0,25.0,0,0
Mace Tyrell,0,25.0,0,0
Malko,0,25.0,0,0
Meryn Trant,0,25.0,0,0
Missandei,0,25.0,0,0
Myranda,0,25.0,0,0
Myrcella Baratheon,0,25.0,0,0
Nymeria Sand,0,25.0,0,0
Obara Sand,0,25.0,0,0
Olenna Tyrell,0,25.0,0,0
Olly,0,25.0,0,0
Pit Announcer,0,25.0,0,0
Pycelle,0,25.0,0,0
Qyburn,0,25.0,0,0
Ramsay Bolton,0,25.0,0,0
Roose Bolton,0,25.0,0,0
Samwell Tarly,0,25.0,0,0
Selyse Baratheon,0,25.0,0,0
Septa Unella,0,25.0,0,0
Ser Bronn,0,25.0,0,0
Ternesio Terys,0,25.0,0,0
Theon Greyjoy,0,25.0,0,0
Tommen Baratheon,0,25.0,0,0
Tormund Giantsbane,0,25.0,0,0
Trystane Martell,0,25.0,0,0
Tycho Nestoris,0,25.0,0,0
Tyene Sand,0,25.0,0,0
Walda Bolton,0,25.0,0,0
White Walkers Master,0,25.0,0,0
Yezzan,0,25.0,0,0
