Character,Points,Rank,Episode
Samwell Tarly,536.0,1.0,1
Brienne of Tarth,368.0,2.0,1
Daario Naharis,280.0,3.0,1
Jaqen Hghar,256.0,4.0,1
Daenerys Targaryen,216.0,5.0,1
Jaime Lannister,168.0,6.0,1
Arya Stark,136.0,7.0,1
Jon Snow,128.0,8.0,1
Ellaria Sand,128.0,8.0,1
Varys,120.0,10.0,1
Ser Bronn,96.0,11.0,1
Podrick Payne,88.0,12.0,1
Kevan Lannister,88.0,12.0,1
Cersei Lannister,80.0,14.0,1
Tyrion Lannister,72.0,15.0,1
Doran Martell,72.0,15.0,1
Sansa Stark,64.0,17.0,1
Petyr Baelish,56.0,18.0,1
Barristan Selmy,56.0,18.0,1
Areo Hotah,48.0,20.0,1
Missandei,32.0,21.0,1
Gilly,32.0,21.0,1
Hizdahr zo Loraq,16.0,23.0,1
Stannis Baratheon,8.0,24.0,1
Keyr,8.0,24.0,1
Qyburn,8.0,24.0,1
Grey Worm,8.0,24.0,1
Gregor Clegane,0.0,28.0,1
Shireen Baratheon,0.0,28.0,1
Lhara,0.0,28.0,1
Ramsay Bolton,0.0,28.0,1
Eddison Tollett,0.0,28.0,1
Yohn Royce,0.0,28.0,1
Malko,0.0,28.0,1
White Walkers Master,0.0,28.0,1
Lord of Bones,0.0,28.0,1
Meryn Trant,0.0,28.0,1
Denys Mallister,0.0,28.0,1
Loboda,0.0,28.0,1
Ternesio Terys,0.0,28.0,1
Janos Slynt,0.0,28.0,1
Mance Rayder,0.0,28.0,1
Davos Seaworth,0.0,28.0,1
Myranda,0.0,28.0,1
Tommen Baratheon,0.0,28.0,1
Selyse Baratheon,0.0,28.0,1
Roose Bolton,0.0,28.0,1
Margaery Tyrell,0.0,28.0,1
Mace Tyrell,0.0,28.0,1
Bowen Marsh,0.0,28.0,1
Jorah Mormont,0.0,28.0,1
Loras Tyrell,0.0,28.0,1
Tycho Nestoris,0.0,28.0,1
Melisandre,0.0,28.0,1
Pycelle,0.0,28.0,1
Olenna Tyrell,0.0,28.0,1
Robin Arryn,0.0,28.0,1
Trystane Martell,0.0,28.0,1
Tyene Sand,0.0,28.0,1
Alliser Thorne,0.0,28.0,1
The High Sparrow,0.0,28.0,1
Theon Greyjoy,0.0,28.0,1
Septa Unella,0.0,28.0,1
Obara Sand,0.0,28.0,1
Nymeria Sand,0.0,28.0,1
Yezzan,0.0,28.0,1
Olly,0.0,28.0,1
Myrcella Baratheon,0.0,28.0,1
Maggy the Frog,0.0,28.0,1
Pit Announcer,0.0,28.0,1
Walda Bolton,0.0,28.0,1
Lancel Lannister,0.0,28.0,1
Tormund Giantsbane,0.0,28.0,1
