Multiplier,Daisy,Dan,Hayley,Ivarius Ironsight,Jannerah Silverscale,Josh Du,Kent,Kirsty,Mart,Max Ng,Rob o Bones,Sherin the Sedulous,Episode
0.125,15.0,18.0,0.0,28.0,15.0,7.0,0.0,0.0,7.0,15.0,15.0,0.0,3
0.25,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,3
0.5,0.0,156.0,28.0,0.0,28.0,0.0,0.0,44.0,16.0,0.0,0.0,0.0,3
1.0,0.0,0.0,488.0,0.0,0.0,32.0,0.0,0.0,0.0,336.0,0.0,0.0,3
2.0,0.0,208.0,0.0,64.0,208.0,80.0,0.0,0.0,240.0,80.0,0.0,240.0,3
4.0,1408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,3
8.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,0.0,0.0,0.0,0.0,1280.0,3
